NO_OF_FRAMES	3996
NO_OF_CAMERAS	8
NO_OF_BODIES	3
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2025-08-19, 16:38:19.875	16348406.23157430
DATA_INCLUDED	6D
BODY_NAMES	tag1	tag2	anchor
BODY_FILTERS	No filter	No filter	No filter
TRANSLATION_ORIGIN	Global	Global	Global	
ROTATION_ORIGIN	Global	Global	Global	
Frame	Time	tag1 X	Y	Z	Roll	Pitch	Yaw	Residual	Rot[0]	Rot[1]	Rot[2]	Rot[3]	Rot[4]	Rot[5]	Rot[6]	Rot[7]	Rot[8]		tag2 X	Y	Z	Roll	Pitch	Yaw	Residual	Rot[0]	Rot[1]	Rot[2]	Rot[3]	Rot[4]	Rot[5]	Rot[6]	Rot[7]	Rot[8]		anchor X	Y	Z	Roll	Pitch	Yaw	Residual	Rot[0]	Rot[1]	Rot[2]	Rot[3]	Rot[4]	Rot[5]	Rot[6]	Rot[7]	Rot[8]	
39	0.38000	-1582.64529	-343.46882	860.94990	0.16843	-0.06131	-0.19100	0.57634	0.99999	-0.00334	0.00106	0.00333	0.99999	0.00294	-0.00107	-0.00294	1.00000		-1363.03903	72.73628	845.28080	-0.06471	-0.09659	-0.16478	1.88085	0.99999	-0.00287	0.00169	0.00288	1.00000	-0.00112	-0.00169	0.00113	1.00000		-2071.36013	81.05374	840.41680	0.00841	-0.06939	0.07827	0.12564	1.00000	0.00137	0.00121	-0.00137	1.00000	0.00015	-0.00121	-0.00015	1.00000	
40	0.39000	-1582.67216	-343.64182	860.89374	0.24988	-0.01256	-0.16410	0.60029	1.00000	-0.00287	0.00021	0.00286	0.99999	0.00436	-0.00022	-0.00436	0.99999		-1363.08787	72.87282	845.36059	0.11112	-0.05410	0.09154	1.92154	1.00000	0.00160	0.00095	-0.00160	1.00000	0.00194	-0.00094	-0.00194	1.00000		-2071.29908	81.00553	840.38662	-0.03182	-0.08862	-0.01877	0.18451	1.00000	-0.00033	0.00155	0.00033	1.00000	-0.00055	-0.00155	0.00056	1.00000	
41	0.40000	-1582.77992	-343.96389	860.88271	0.41414	-0.12244	-0.32657	0.55963	0.99998	-0.00572	0.00210	0.00570	0.99996	0.00724	-0.00214	-0.00723	0.99997		-1363.03277	72.76763	845.33472	0.00977	-0.12735	-0.08341	1.89549	1.00000	-0.00146	0.00222	0.00146	1.00000	0.00017	-0.00222	-0.00017	1.00000		-2071.45434	81.00355	840.42828	0.01563	-0.09019	0.28554	0.14777	0.99999	0.00498	0.00158	-0.00498	0.99999	0.00026	-0.00157	-0.00027	1.00000	
42	0.41000	-1582.81782	-344.22570	860.93662	0.53871	-0.16870	-0.26263	0.52598	0.99999	-0.00461	0.00290	0.00458	0.99995	0.00942	-0.00294	-0.00940	0.99995		-1363.01905	72.72005	845.27071	-0.07554	-0.13988	-0.18164	1.86228	0.99999	-0.00317	0.00245	0.00317	0.99999	-0.00131	-0.00244	0.00132	1.00000		-2071.51896	81.12647	840.53530	0.08436	-0.05947	0.71758	0.09955	0.99992	0.01252	0.00106	-0.01252	0.99992	0.00146	-0.00104	-0.00147	1.00000	
43	0.42000	-1582.79668	-344.37135	860.78945	0.56868	-0.10979	-0.29364	0.56814	0.99999	-0.00514	0.00187	0.00512	0.99994	0.00993	-0.00192	-0.00993	0.99995		-1363.02410	72.72513	845.30528	-0.03357	-0.11792	-0.13241	1.88501	1.00000	-0.00231	0.00206	0.00231	1.00000	-0.00058	-0.00206	0.00059	1.00000		-2071.36135	81.11955	840.44863	0.06323	-0.01685	0.35222	0.19536	0.99998	0.00615	0.00030	-0.00615	0.99998	0.00110	-0.00029	-0.00110	1.00000	
44	0.43000	-1582.84878	-344.52383	860.77858	0.63317	-0.12786	-0.26854	0.56764	0.99999	-0.00471	0.00218	0.00469	0.99993	0.01106	-0.00223	-0.01105	0.99994		-1363.07546	72.82524	845.30303	0.06517	-0.04865	0.11358	1.91303	1.00000	0.00198	0.00085	-0.00198	1.00000	0.00114	-0.00085	-0.00114	1.00000		-2071.44006	81.01253	840.43659	-0.00714	-0.08057	0.33151	0.15219	0.99998	0.00579	0.00141	-0.00579	0.99998	-0.00013	-0.00141	0.00012	1.00000	
45	0.44000	-1582.80299	-344.65359	860.79677	0.73180	-0.11744	-0.31732	0.54543	0.99998	-0.00556	0.00198	0.00554	0.99990	0.01278	-0.00205	-0.01277	0.99992		-1362.89039	73.00335	845.11757	-0.03165	-0.03547	0.30124	1.85819	0.99999	0.00526	0.00062	-0.00526	0.99999	-0.00056	-0.00062	0.00055	1.00000		-2071.44217	80.98012	840.43653	-0.01911	-0.07899	0.36857	0.14634	0.99998	0.00643	0.00138	-0.00643	0.99998	-0.00034	-0.00138	0.00033	1.00000	
46	0.45000	-1582.83675	-344.71392	860.80520	0.73936	-0.14116	-0.37735	0.57669	0.99998	-0.00662	0.00238	0.00659	0.99989	0.01292	-0.00246	-0.01290	0.99991		-1363.02426	72.69902	845.27489	-0.02737	-0.13041	-0.17868	1.86390	0.99999	-0.00312	0.00228	0.00312	1.00000	-0.00047	-0.00228	0.00048	1.00000		-2071.44741	81.01885	840.37949	0.02007	-0.10772	0.41073	0.19120	0.99997	0.00717	0.00188	-0.00717	0.99997	0.00034	-0.00188	-0.00035	1.00000	
47	0.46000	-1582.79339	-344.67089	860.73339	0.68677	-0.12005	-0.36973	0.57863	0.99998	-0.00648	0.00202	0.00645	0.99991	0.01200	-0.00210	-0.01199	0.99993		-1362.95567	73.07512	845.08870	-0.01501	0.03040	0.51176	1.88249	0.99996	0.00893	-0.00053	-0.00893	0.99996	-0.00026	0.00053	0.00026	1.00000		-2071.48428	81.11097	840.52206	0.09740	-0.05902	0.67832	0.09138	0.99993	0.01184	0.00105	-0.01184	0.99993	0.00169	-0.00103	-0.00170	1.00000	
48	0.47000	-1582.75208	-344.60074	860.75492	0.68758	-0.11201	-0.30946	0.55298	0.99998	-0.00542	0.00189	0.00540	0.99991	0.01201	-0.00195	-0.01200	0.99993		-1363.10165	72.84980	845.30601	0.03370	-0.04886	0.05154	1.91876	1.00000	0.00090	0.00085	-0.00090	1.00000	0.00059	-0.00085	-0.00059	1.00000		-2071.49995	81.11332	840.51405	0.09212	-0.05455	0.65667	0.09997	0.99993	0.01146	0.00097	-0.01146	0.99993	0.00160	-0.00095	-0.00161	1.00000	
